action_plays,espn_game_id,espn_player_id,first_name,home_away,last_name,opponent,opposition_score,pass_EPA,penalty_EPA,qb_score,raw_QBR,run_EPA,sack_EPA,team_name,total_EPA,total_QBR,week,won_lost,year
22,253370058.0,159846,Pat,away,White,USF,13,2.5,-0.1,28,99.4,8.4,0.0,WVU,10.8,99.7,14,W,2005
29,252600030.0,120511,Matt,home,Leinart,ARK,17,6.1,0.4,70,99.3,1.5,-0.1,USC,7.8,99.5,3,W,2005
28,252810097.0,164609,Brian,home,Brohm,UNC,14,7.7,0.9,69,99.3,0.0,-0.2,LOU,8.4,99.5,6,W,2005
31,253160026.0,137200,Drew,home,Olson,ASU,35,14.0,0.3,45,99.0,0.0,-0.6,UCLA,13.8,99.1,11,W,2005
43,252880251.0,135107,Vince,home,Young,COLO,17,8.0,0.1,42,98.8,3.7,0.0,TEX,11.8,99.0,7,W,2005
41,252742509.0,150329,Brady,away,Quinn,PUR,28,11.3,0.1,49,97.7,0.8,0.0,ND,12.2,98.6,5,W,2005
31,252740277.0,135239,Marcus,away,Vick,WVU,17,9.6,-0.2,34,97.4,2.9,-0.8,VT,11.4,98.4,5,W,2005
35,252600245.0,138583,Reggie,home,McNeal,SMU,8,5.2,-0.2,66,98.5,6.5,-0.1,TA&M,11.4,98.3,3,W,2005
25,252950356.0,120321,Michael,away,Robinson,ILL,10,5.8,0.0,63,99.0,3.1,0.0,PSU,8.8,98.2,8,W,2005
23,253290062.0,133680,John,away,Stocco,HAW,24,7.1,0.0,41,98.9,1.9,0.0,WIS,9.0,98.1,13,W,2005
32,252460061.0,127637,D.J.,home,Shockley,BSU,13,2.8,-0.2,48,97.9,4.8,0.0,UGA,7.4,97.8,1,W,2005
27,252740333.0,128154,Brodie,home,Croyle,FLA,3,5.4,0.1,31,95.2,-0.4,-0.6,ALA,4.5,97.5,5,W,2005
37,253232294.0,146009,Drew,home,Tate,MINN,28,6.1,0.1,52,97.4,-0.3,0.0,IOWA,5.9,97.4,12,W,2005
