action_plays,espn_game_id,espn_player_id,first_name,home_away,last_name,opponent,opposition_score,pass_EPA,penalty_EPA,qb_score,raw_QBR,run_EPA,sack_EPA,team_name,total_EPA,total_QBR,week,won_lost,year
24,262730099.0,146755,JaMarcus,home,Russell,MSST,17,7.5,0.1,48,99.7,0.0,-0.6,LSU,6.9,99.7,5,W,2006
20,262730084.0,133680,John,away,Stocco,IND,17,7.8,-0.2,52,99.5,0.3,0.0,WIS,7.9,99.4,5,W,2006
22,262660221.0,134942,Tyler,home,Palko,CIT,6,7.2,-0.2,51,99.7,1.6,0.0,PITT,8.6,99.3,4,W,2006
21,262520265.0,145238,Alex,home,Brink,IDAHO,10,6.4,0.4,56,99.5,1.7,0.0,WSU,8.5,99.3,2,W,2006
24,263282084.0,170586,Dan,away,LeFevour,BUFF,28,10.9,-0.3,55,99.7,1.9,-0.7,CMU,12.0,99.2,13,W,2006
40,263010150.0,161402,Chris,away,Nickson,DUKE,28,6.0,-0.0,45,99.6,10.2,-0.3,VAN,15.9,99.2,9,W,2006
37,262730204.0,163360,Nate,away,Longshore,ORST,13,8.8,0.5,41,97.2,0.0,-0.5,CAL,8.8,98.9,5,W,2006
21,263220057.0,183484,Tim,home,Tebow,WCU,0,1.6,-0.0,62,99.4,1.1,0.0,FLA,2.7,98.6,12,W,2006
35,262870277.0,159846,Pat,home,White,SYR,17,2.6,-0.0,41,98.9,11.8,0.0,WVU,14.4,98.6,7,W,2006
21,262862116.0,134942,Tyler,away,Palko,UCF,7,4.0,0.3,52,99.0,2.3,0.0,PITT,6.5,98.5,7,W,2006
24,262520249.0,162050,Woody,home,Wilson,SMU,6,4.8,0.1,24,98.7,5.1,0.0,UNT,10.0,98.0,2,W,2006
23,263222132.0,169389,Nick,home,Davila,RUTG,11,5.7,-0.1,30,95.4,-0.3,0.0,CIN,5.3,98.0,12,W,2006
31,263222628.0,137461,Jeff,home,Ballard,SDSU,0,8.0,0.0,52,98.2,0.9,-0.3,TCU,8.6,97.9,12,W,2006
27,262942050.0,115823,Ryan,away,Cubit,BALL,27,11.8,-0.1,41,99.0,0.0,0.0,WMU,11.7,97.8,8,W,2006
24,262800252.0,148066,John,home,Beck,SDSU,17,5.6,-0.1,47,98.0,0.0,0.0,BYU,5.6,97.6,6,W,2006
20,262590097.0,164609,Brian,home,Brohm,MIAMI,7,5.7,0.5,31,95.5,1.5,-1.1,LOU,6.7,97.5,3,W,2006
27,262450194.0,133648,Troy,home,Smith,NIU,12,6.7,-0.0,35,98.7,-0.5,0.0,OSU,6.2,97.5,1,W,2006
