action_plays,espn_game_id,espn_player_id,first_name,home_away,last_name,opponent,opposition_score,pass_EPA,penalty_EPA,qb_score,raw_QBR,run_EPA,sack_EPA,team_name,total_EPA,total_QBR,week,won_lost,year
27,400548155.0,532645,Zach,home,Terrell,EMU,7,8.3,0.2,51,100.0,1.1,0.0,WMU,9.6,99.9,12,W,2014
27,400547801.0,512191,Jacoby,away,Brissett,UNC,7,2.2,1.2,35,99.7,9.4,-1.1,NCST,11.8,99.7,14,W,2014
25,400548356.0,550021,Nick,home,Marshall,SC,35,5.6,0.1,42,99.3,7.5,0.0,AUB,13.1,99.5,9,W,2014
22,400548394.0,546033,Anthony,home,Jennings,SHSU,0,5.6,-0.0,56,99.8,1.5,0.0,LSU,7.1,99.4,2,W,2014
26,400610180.0,531104,Justin,home,Thomas,MSST,34,3.2,0.0,49,98.8,8.3,-1.4,GT,10.2,99.4,bowl,W,2014
25,400547933.0,530731,Mitch,home,Leidner,IOWA,14,5.9,-0.1,51,99.1,1.9,0.0,MINN,7.7,99.3,11,W,2014
24,400548463.0,381494,Christian,home,Stewart,SAV,0,6.7,-0.1,64,99.7,4.2,0.0,BYU,10.7,99.3,13,W,2014
22,400547773.0,532925,Kevin,away,Ellison,GT,42,4.4,-0.1,38,99.1,2.6,-0.2,GASO,6.8,99.2,3,L,2014
45,400547958.0,545624,J.T. Barrett,away,IV,MSU,37,8.8,0.5,49,97.9,9.3,-1.6,OSU,17.1,99.2,11,W,2014
30,400548317.0,516357,Kevin,away,Hogan,UCLA,10,8.9,0.6,31,98.3,2.3,0.0,STAN,11.8,99.1,14,W,2014
41,400547984.0,545624,J.T. Barrett,home,IV,RUTG,17,5.1,-0.2,56,99.1,4.7,0.0,OSU,9.7,98.9,8,W,2014
20,400548044.0,551028,Lamar,away,Jordan,UTSA,9,1.6,0.0,21,99.2,8.7,-0.7,UNM,9.6,98.8,6,W,2014
22,400547794.0,530450,Chad,away,Voytik,MIAMI,23,2.8,2.0,35,97.0,3.1,0.0,PITT,7.9,98.5,14,W,2014
33,400548357.0,504052,Blake,away,Sims,TENN,20,7.1,0.1,34,96.9,3.6,-0.4,ALA,10.3,98.5,9,W,2014
24,400548040.0,530696,Cody,home,Sokol,UTEP,3,1.5,-0.1,55,99.2,4.3,0.0,LT,5.7,98.5,6,W,2014
20,400548110.0,532645,Zach,away,Terrell,IDAHO,33,8.9,-0.0,45,99.4,0.6,-0.3,WMU,9.2,98.5,3,W,2014
31,400547842.0,535511,Seth,home,Russell,NWST,6,7.5,-0.2,70,99.4,2.3,0.0,BAY,9.7,98.5,2,W,2014
21,400548379.0,559751,Brandon,home,Harris,NMSU,7,2.1,-0.0,63,99.2,0.8,0.0,LSU,2.8,98.4,5,W,2014
36,400548238.0,535972,Kale,home,Pearson,NEV,38,6.9,1.5,45,99.0,9.4,-0.5,AFA,17.3,98.4,12,W,2014
39,400548373.0,550021,Nick,home,Marshall,LSU,7,5.5,-0.1,41,96.1,3.6,-0.3,AUB,8.7,98.3,6,W,2014
46,400548299.0,511459,Marcus,home,Mariota,STAN,16,4.1,0.3,45,95.1,8.0,-0.4,ORE,12.1,98.3,10,W,2014
35,400548269.0,511982,Brett,away,Hundley,ASU,27,6.8,0.2,62,96.2,4.4,-0.8,UCLA,10.5,98.3,5,W,2014
33,400548349.0,550021,Nick,away,Marshall,MISS,31,7.7,-0.1,35,93.3,2.2,0.0,AUB,9.8,98.2,10,W,2014
26,400547679.0,518344,Gary,home,Nova,TULN,6,5.8,0.2,31,98.0,1.1,-0.4,RUTG,6.7,98.2,5,W,2014
45,400610205.0,504866,Brandon,home,Doughty,CMU,48,14.8,-0.2,49,98.7,-0.1,0.0,WKU,14.5,98.0,bowl,W,2014
41,400548320.0,511459,Marcus,away,Mariota,ORST,19,8.3,-0.3,47,97.0,3.6,-1.0,ORE,10.6,97.9,14,W,2014
20,400548011.0,533208,Cole,home,Gautsche,UTEP,31,0.9,0.1,24,98.8,9.4,-1.2,UNM,9.2,97.8,1,L,2014
28,400547909.0,534770,Austin,away,Appleby,ILL,27,6.2,0.4,38,97.7,4.6,0.0,PUR,11.2,97.6,6,W,2014
35,400547900.0,550158,Jake,home,Waters,KU,13,6.8,-0.2,51,96.9,0.8,0.0,KSU,7.5,97.6,14,W,2014
27,400548222.0,515528,Garrett,home,Grayson,WYO,31,9.4,0.2,45,98.9,-0.3,-0.5,CSU,8.8,97.5,9,W,2014
24,400547750.0,3122840,Deshaun,home,Watson,SC,17,5.3,0.0,35,96.7,2.1,0.0,CLEM,7.3,97.3,14,W,2014
36,400548008.0,515409,Everett,home,Golson,RICE,17,7.1,-0.2,48,98.1,5.2,-0.8,ND,11.3,97.3,1,W,2014
20,400548030.0,549918,Dajon,home,Williams,NICH,3,2.7,-0.1,77,99.0,2.3,0.0,UNT,4.9,97.2,4,W,2014
29,400548248.0,3125353,Kent,home,Myers,SJSU,7,1.6,0.3,41,98.7,7.6,0.0,USU,9.4,97.1,13,W,2014
30,400548236.0,531172,Chad,away,Chalich,SDSU,35,2.7,0.0,21,96.3,8.1,-1.0,IDAHO,9.9,97.1,11,L,2014
31,400548146.0,532645,Zach,away,Terrell,M-OH,10,7.7,0.9,41,98.3,2.1,0.0,WMU,10.6,97.0,10,W,2014
30,400548058.0,504866,Brandon,home,Doughty,ODU,51,14.2,0.2,66,98.9,0.1,-0.8,WKU,13.8,96.7,9,W,2014
43,400547659.0,534259,Gunner,home,Kiel,TOL,34,10.8,0.4,58,98.0,0.6,-0.4,CIN,11.4,96.7,3,W,2014
23,400547642.0,551184,Justin,home,Holman,PSU,26,6.7,-0.4,24,92.4,0.6,-0.3,UCF,6.6,96.7,1,L,2014
47,400548172.0,513329,Cody,home,Kessler,FRES,13,10.8,-0.1,52,97.6,2.3,0.0,USC,13.0,96.6,1,W,2014
41,400548313.0,511459,Marcus,home,Mariota,COLO,10,5.5,-0.0,44,97.4,4.5,-1.0,ORE,9.0,96.6,13,W,2014
41,400547934.0,518380,Jake,home,Rudock,WIS,26,8.6,1.8,24,93.5,3.5,-1.7,IOWA,12.0,96.5,13,L,2014
38,400548106.0,480746,Bryce,away,Petty,BUFF,21,9.8,-0.2,63,98.1,0.3,0.0,BAY,9.9,96.5,3,W,2014
37,400548392.0,504295,Dylan,home,Thompson,UGA,35,7.5,0.5,38,90.3,2.3,-0.7,SC,9.5,96.3,3,W,2014
38,400548340.0,546540,Joshua,home,Dobbs,UK,16,4.4,0.0,50,95.9,4.2,-0.5,TENN,8.1,96.3,12,W,2014
44,400547965.0,545624,J.T. Barrett,away,IV,MINN,24,4.2,0.5,31,95.4,9.9,-0.5,OSU,14.1,96.2,12,W,2014
31,400548286.0,513329,Cody,home,Kessler,COLO,28,7.4,0.4,56,97.0,0.0,-0.5,USC,7.2,96.0,8,W,2014
30,400548128.0,3125823,Reginald,home,Bell,BUFF,27,3.8,0.0,37,98.1,8.5,0.0,EMU,12.3,96.0,7,W,2014
38,400547951.0,545624,J.T. Barrett,home,IV,MICH,28,4.2,0.4,42,93.9,6.9,0.0,OSU,11.5,95.9,14,W,2014
59,400548323.0,550021,Nick,away,Marshall,ALA,55,12.9,-0.3,44,91.2,1.5,-0.8,AUB,13.2,95.8,14,L,2014
35,400548137.0,532480,Drew,home,Hare,M-OH,41,4.0,-0.2,51,97.9,7.4,0.0,NIU,11.2,95.8,8,W,2014
52,400547743.0,3122840,Deshaun,home,Watson,UNC,35,11.6,0.4,50,95.6,1.5,-1.6,CLEM,11.9,95.8,5,W,2014
47,400548303.0,511982,Brett,away,Hundley,WASH,30,9.1,0.1,44,93.3,2.5,-0.9,UCLA,10.9,95.8,11,W,2014
49,400548318.0,513329,Cody,home,Kessler,ND,14,8.4,0.2,49,94.8,0.4,-1.0,USC,8.0,95.7,14,W,2014
48,400547744.0,3122840,Deshaun,home,Watson,NCST,0,4.1,0.2,41,95.3,4.9,-0.7,CLEM,8.4,95.7,6,W,2014
33,400608167.0,530308,Jameis,away,Winston,GT,35,11.0,0.0,37,95.3,-0.0,0.0,FSU,11.0,95.7,15,W,2014
31,400548193.0,511459,Marcus,home,Mariota,WYO,14,4.5,-0.3,48,97.9,5.6,0.0,ORE,9.8,95.5,3,W,2014
44,400548267.0,511459,Marcus,away,Mariota,WSU,31,11.7,-0.2,38,95.7,8.1,-4.5,ORE,15.1,95.5,4,W,2014
25,400547748.0,531104,Justin,home,Thomas,CLEM,6,3.5,0.1,28,79.7,0.9,-1.2,GT,3.2,95.5,12,W,2014
32,400547718.0,534849,Paxton,home,Lynch,USF,20,5.8,-0.1,31,97.1,4.2,0.0,MEM,9.9,95.4,13,W,2014
30,400548263.0,504700,Taylor,away,Kelly,COLO,24,4.4,1.0,38,96.1,5.6,-1.0,ASU,10.0,95.3,3,W,2014
40,400547757.0,501046,Anthony,away,Boone,PITT,48,8.2,-0.0,51,96.0,6.0,0.0,DUKE,14.1,95.2,10,W,2014
27,400548257.0,511459,Marcus,home,Mariota,SDAK,13,6.0,-0.1,62,98.2,1.7,0.0,ORE,7.7,95.2,1,W,2014
45,400548221.0,504908,Grant,home,Hedrick,BYU,30,8.7,-0.5,55,95.5,3.4,-1.3,BSU,10.2,95.1,9,W,2014
28,400608167.0,531104,Justin,home,Thomas,FSU,37,1.6,-0.1,35,88.4,5.0,0.0,GT,6.6,95.1,15,L,2014
51,400547883.0,534449,Trevor,away,Knight,ISU,14,4.3,-0.0,59,96.4,8.4,0.0,OKLA,12.6,95.0,10,W,2014
29,400547655.0,530568,Keenan,away,Reynolds,TEM,24,0.5,0.0,31,93.2,7.8,0.0,NAVY,8.3,94.9,2,W,2014
65,400610179.0,480746,Bryce,home,Petty,MSU,42,14.4,-0.2,41,88.8,1.1,-2.3,BAY,12.9,94.9,bowl,L,2014
37,400547968.0,533270,Tommy Armstrong,home,Jr.,FAU,7,5.6,-0.1,55,95.7,3.5,0.0,NEB,9.1,94.8,1,W,2014
35,400548465.0,515409,Everett,away,Golson,NAVY,39,8.3,-0.1,49,95.2,3.7,-1.0,ND,10.8,94.6,10,W,2014
26,400547776.0,531104,Justin,away,Thomas,PITT,28,4.0,-0.2,56,95.2,3.6,0.0,GT,7.4,94.3,9,W,2014
48,400548384.0,504052,Blake,home,Sims,FLA,21,9.5,-0.4,42,81.5,-0.0,-0.6,ALA,8.5,94.3,4,W,2014
36,400548323.0,504052,Blake,home,Sims,AUB,44,7.4,-0.3,55,90.1,2.5,-1.0,ALA,8.7,94.2,14,W,2014
36,400548370.0,504004,Hutson,away,Mason,MIZ,0,5.4,0.2,34,83.2,2.0,-1.6,UGA,6.1,94.2,7,W,2014
29,400548315.0,516357,Kevin,away,Hogan,CAL,17,5.0,1.6,38,95.9,2.0,0.0,STAN,8.6,94.1,13,W,2014
34,400548407.0,548240,Tyler,home,Jones,UAPB,0,6.6,-0.0,65,97.8,1.3,-0.2,TXST,7.6,94.1,1,W,2014
41,400547937.0,545624,J.T. Barrett,away,IV,MD,24,7.3,0.1,52,91.7,2.2,-1.4,OSU,8.2,94.1,6,W,2014
20,400547737.0,3116642,Reggie,away,Bonnafon,BC,19,4.2,-0.2,38,92.9,2.1,-0.4,LOU,5.7,94.0,11,W,2014
28,400548049.0,514894,Driphus,away,Jackson,ARMY,21,8.2,0.0,41,97.2,1.3,-1.0,RICE,8.5,94.0,7,W,2014
30,400548070.0,518267,Rakeem,away,Cato,USM,17,4.2,0.9,63,97.2,5.3,-0.8,MRSH,9.5,93.9,11,W,2014
41,400547683.0,534849,Paxton,away,Lynch,CIN,14,8.3,-0.3,41,93.6,1.6,0.0,MEM,9.6,93.8,6,W,2014
30,400547693.0,534259,Gunner,away,Kiel,SMU,3,6.4,0.5,41,96.9,2.5,0.0,CIN,9.3,93.8,8,W,2014
26,400547730.0,503970,Tyler,home,Murphy,USC,31,-3.1,0.0,37,89.7,10.4,-1.0,BC,6.3,93.6,3,W,2014
25,400548024.0,504052,Blake,home,Sims,USM,12,3.7,-0.1,52,97.4,4.2,0.0,ALA,7.8,93.4,3,W,2014
39,400548445.0,548447,Taylor,away,Lamb,ARKST,32,9.2,-0.4,37,90.8,1.1,-0.4,APP,9.5,93.3,12,W,2014
24,400547963.0,530731,Mitch,home,Leidner,NW,17,2.6,-0.3,24,90.9,4.7,-0.7,MINN,6.3,93.3,7,W,2014
36,400548282.0,511459,Marcus,away,Mariota,UCLA,30,2.2,0.1,42,87.7,4.7,0.0,ORE,7.0,93.2,7,W,2014
37,400547922.0,512705,Connor,away,Cook,IND,17,9.8,0.3,56,93.1,0.6,-0.5,MSU,10.2,93.2,8,W,2014
39,400548446.0,530568,Keenan,home,Reynolds,GASO,19,1.1,0.2,52,95.5,8.0,0.0,NAVY,9.3,93.2,12,W,2014
57,400548275.0,517393,Mike,away,Bercovici,USC,34,13.0,1.5,38,87.7,-0.4,-1.4,ASU,12.8,93.0,6,W,2014
45,400547766.0,530308,Jameis,away,Winston,SYR,20,8.8,1.1,38,91.1,-0.1,-0.6,FSU,9.2,93.0,7,W,2014
33,400548097.0,511552,Derrius,away,Vick,KENT,14,10.5,0.1,17,95.6,0.6,0.0,OHIO,11.2,93.0,1,W,2014
53,400548084.0,504866,Brandon,away,Doughty,MRSH,66,13.0,0.0,67,86.6,0.0,-1.8,WKU,11.8,92.8,14,W,2014
37,400548023.0,549865,Kenny,home,Hill,RICE,10,7.7,0.2,38,94.9,2.8,-1.3,TA&M,9.3,92.8,3,W,2014
33,400610210.0,503970,Tyler,away,Murphy,PSU,31,2.6,-0.1,30,84.2,5.1,-0.7,BC,6.9,92.8,bowl,L,2014
28,400548262.0,547401,Jared,home,Goff,SAC,14,5.9,0.1,55,97.3,0.1,0.0,CAL,6.1,92.7,2,W,2014
22,400548232.0,535972,Kale,away,Pearson,UNLV,21,3.4,1.1,48,96.5,2.8,-0.4,AFA,6.9,92.6,11,W,2014
45,400547773.0,531104,Justin,home,Thomas,GASO,38,4.8,-0.0,42,95.1,7.6,-0.6,GT,11.8,92.6,3,W,2014
30,400610223.0,515915,Brandon,away,Allen,TEX,7,3.9,-0.1,31,80.4,0.9,-0.3,ARK,4.3,92.5,bowl,W,2014
31,400547788.0,3123048,Brad,home,Kaaya,ARKST,20,7.6,0.1,41,90.7,0.0,-1.6,MIAMI,6.1,92.4,3,W,2014
29,400610206.0,516357,Kevin,home,Hogan,MD,21,5.6,0.2,45,90.0,0.4,-0.7,STAN,5.5,92.4,bowl,W,2014
34,400547877.0,550158,Jake,away,Waters,OKLA,30,5.8,-0.2,31,82.8,3.3,-2.1,KSU,6.8,92.2,8,W,2014
29,400609096.0,534294,Cardale,home,Jones,WIS,0,6.1,-0.2,59,85.2,-1.9,-0.1,OSU,3.8,92.1,15,W,2014
55,400548356.0,504295,Dylan,away,Thompson,AUB,42,9.3,0.8,35,85.3,0.6,0.0,SC,10.6,92.1,9,L,2014
45,400547774.0,531104,Justin,away,Thomas,VT,24,1.4,-0.3,27,76.8,6.7,-0.6,GT,7.1,92.1,4,W,2014
38,400547877.0,534449,Trevor,home,Knight,KSU,31,9.5,0.0,30,90.8,0.5,0.0,OKLA,10.0,92.1,8,L,2014
63,400548003.0,504866,Brandon,home,Doughty,BGSU,31,12.0,0.1,59,93.5,-0.0,-0.5,WKU,11.6,92.1,1,W,2014
28,400548459.0,535646,A.J.,away,Schurr,YALE,49,2.6,-0.1,43,96.6,8.3,-0.7,ARMY,10.2,92.0,5,L,2014
54,400548290.0,552097,Anu,away,Solomon,WSU,37,9.8,1.5,59,92.3,0.0,-0.1,ARIZ,11.1,92.0,9,W,2014
21,400548359.0,504004,Hutson,away,Mason,ARK,32,4.0,0.0,45,84.3,0.7,-0.9,UGA,3.7,91.9,8,W,2014
52,400547641.0,482594,Taysom,away,Hill,UCONN,10,7.7,-0.2,35,92.6,3.9,-0.2,BYU,11.1,91.9,1,W,2014
46,400610226.0,559681,Kyle,away,Allen,WVU,37,5.4,-0.1,45,84.0,4.5,-1.0,TA&M,8.7,91.9,bowl,W,2014
40,400548192.0,552097,Anu,home,Solomon,NEV,28,7.9,0.3,35,94.6,3.9,0.0,ARIZ,12.1,91.8,3,W,2014
39,400610221.0,531051,Travis,away,Wilson,CSU,10,4.7,-0.2,45,93.1,5.0,0.0,UTAH,9.4,91.8,bowl,W,2014
32,400548166.0,513614,Joe,away,Licata,UMASS,21,10.1,0.7,41,96.0,-0.2,-0.3,BUFF,10.3,91.8,14,W,2014
22,400548161.0,546005,Jack,home,Milas,EMU,30,4.3,-0.1,45,97.9,3.8,0.0,BALL,8.0,91.8,13,W,2014
69,400548402.0,549865,Kenny,away,Hill,SC,28,13.3,0.8,52,89.0,-0.5,-0.6,TA&M,13.1,91.7,1,W,2014
41,400548391.0,512030,Dak,away,Prescott,USA,3,3.2,-0.3,35,94.5,8.5,-0.8,MSST,10.5,91.7,3,W,2014
40,400548165.0,531552,Ozzie,away,Mann,BGSU,24,10.4,0.3,41,92.3,0.4,0.0,BALL,11.1,91.6,14,W,2014
43,400548288.0,511459,Marcus,home,Mariota,WASH,20,6.5,-0.3,45,88.3,2.2,-1.1,ORE,7.3,91.6,8,W,2014
40,400547944.0,515409,Everett,home,Golson,MICH,0,6.3,1.1,31,87.7,-0.7,-0.2,ND,6.5,91.6,2,W,2014
35,400548204.0,550720,Darell,away,Garretson,BYU,20,11.2,-0.2,35,91.2,-1.9,-0.5,USU,8.6,91.5,6,W,2014
27,400548142.0,532480,Drew,away,Hare,EMU,17,-0.4,0.0,28,97.5,11.2,0.0,NIU,10.8,91.4,9,W,2014
36,400548228.0,520520,Colby,away,Kirkegaard,FRES,17,9.3,-0.4,45,93.2,1.5,-0.6,WYO,9.8,91.3,10,W,2014
52,400548304.0,511459,Marcus,away,Mariota,UTAH,27,5.2,-0.2,51,80.8,7.1,-3.3,ORE,8.9,91.3,11,W,2014
34,400610224.0,546540,Joshua,home,Dobbs,IOWA,28,1.5,0.0,45,88.0,2.3,-0.1,TENN,3.7,91.2,bowl,W,2014
38,400548302.0,504700,Taylor,home,Kelly,ND,31,4.5,0.3,55,89.3,0.7,-0.4,ASU,5.1,91.1,11,W,2014
40,400547953.0,511459,Marcus,home,Mariota,MSU,27,6.7,-0.2,46,82.2,3.2,-2.3,ORE,7.3,91.1,2,W,2014
55,400547846.0,482594,Taysom,away,Hill,TEX,7,1.4,-0.0,41,76.1,9.0,-3.2,BYU,7.2,91.1,2,W,2014
46,400547874.0,501098,Clint,home,Trickett,BAY,27,8.6,3.4,41,82.8,0.0,-3.1,WVU,9.0,91.0,8,W,2014
34,400547906.0,535325,Cyler,home,Miles,ILL,19,3.7,0.4,44,91.9,1.0,-0.2,WASH,4.9,90.7,3,W,2014
40,400548019.0,518267,Rakeem,home,Cato,OHIO,14,6.0,0.1,44,95.1,1.8,-0.3,MRSH,7.6,90.7,3,W,2014
49,400548386.0,512030,Dak,away,Prescott,LSU,29,5.7,-0.3,34,78.3,2.3,-1.3,MSST,6.3,90.6,4,W,2014
31,400548035.0,550021,Nick,home,Marshall,LT,17,2.7,-0.1,45,90.2,4.8,-1.0,AUB,6.3,90.6,5,W,2014
59,400548278.0,547401,Jared,away,Goff,WSU,59,15.2,0.8,60,90.7,0.0,-0.9,CAL,15.0,90.3,6,W,2014
35,400553383.0,499830,Blake,home,Jurich,UND,10,5.6,0.2,42,96.2,1.7,0.0,SJSU,7.6,90.1,1,W,2014
38,400548083.0,504866,Brandon,home,Doughty,UTSA,7,6.7,0.1,45,93.7,-0.4,0.0,WKU,6.4,90.1,13,W,2014
28,400548229.0,3125353,Kent,away,Myers,HAW,14,7.7,-0.7,35,91.0,0.4,-0.7,USU,6.7,90.1,10,W,2014
49,400548306.0,513329,Cody,home,Kessler,CAL,30,10.2,-0.4,38,93.7,-0.1,-0.3,USC,9.4,90.0,12,W,2014
22,400548168.0,545910,Logan,away,Woodside,EMU,16,7.0,-0.3,52,97.0,0.0,-1.3,TOL,5.4,90.0,14,W,2014
50,400548233.0,504908,Grant,away,Hedrick,UNM,49,10.7,-0.2,60,95.9,7.7,-1.5,BSU,16.5,89.9,11,W,2014
29,400547665.0,550876,Jaquez,home,Johnson,TLSA,21,5.6,0.0,50,94.3,0.3,-0.2,FAU,5.8,89.9,3,W,2014
32,400548454.0,548447,Taylor,home,Lamb,IDAHO,28,5.8,1.3,45,96.4,1.7,0.0,APP,8.8,89.8,14,W,2014
27,400547932.0,518380,Jake,home,Rudock,NW,7,5.3,-0.4,48,86.3,-1.5,0.0,IOWA,3.5,89.8,10,W,2014
47,400547942.0,518344,Gary,away,Nova,MD,38,10.4,-0.3,41,85.9,-0.4,-1.4,RUTG,8.3,89.7,14,W,2014
32,400548335.0,512030,Dak,home,Prescott,VAN,0,3.8,0.2,51,91.5,1.0,-0.1,MSST,4.9,89.7,13,W,2014
30,400609154.0,504908,Grant,home,Hedrick,FRES,14,1.2,-0.4,28,92.7,4.6,-0.2,BSU,5.2,89.7,15,W,2014
43,400548108.0,532480,Drew,away,Hare,UNLV,34,9.6,-0.1,48,95.0,4.1,0.0,NIU,13.6,89.6,3,W,2014
38,400548266.0,547401,Jared,away,Goff,ARIZ,49,8.7,0.2,45,82.2,-0.7,-1.7,CAL,6.4,89.6,4,L,2014
38,400610218.0,511982,Brett,home,Hundley,KSU,35,0.5,-0.4,40,87.3,9.0,-1.3,UCLA,7.8,89.5,bowl,W,2014
42,400548381.0,512424,Justin,away,Worley,UGA,35,7.3,-0.3,32,73.0,0.0,-1.4,TENN,5.8,89.5,5,L,2014
38,400547663.0,512191,Jacoby,away,Brissett,USF,17,7.6,-0.3,49,92.2,1.1,-0.5,NCST,8.0,89.4,3,W,2014
29,400547913.0,518380,Jake,away,Rudock,ILL,14,6.3,0.0,30,89.5,1.0,0.0,IOWA,7.3,89.3,12,W,2014
36,400548420.0,3124848,Nick,away,Arbuckle,ULL,34,9.6,1.5,31,93.4,0.2,-0.5,GAST,10.8,89.2,6,L,2014
42,400547822.0,482594,Taysom,home,Hill,UVA,33,3.5,0.3,41,78.6,4.5,-1.4,BYU,7.0,89.2,4,W,2014
22,400548204.0,482594,Taysom,home,Hill,USU,35,2.7,-0.4,20,82.6,2.4,-0.6,BYU,4.1,89.2,6,L,2014
41,400547834.0,534449,Trevor,home,Knight,LT,16,4.7,0.4,48,88.7,-0.8,0.0,OKLA,4.2,89.2,1,W,2014
46,400548224.0,530568,Keenan,home,Reynolds,SJSU,31,1.0,0.0,41,94.9,12.3,0.0,NAVY,13.3,89.1,9,W,2014
36,400547733.0,503970,Tyler,away,Murphy,NCST,14,1.1,0.0,30,86.8,6.7,0.0,BC,7.9,89.1,7,W,2014
51,400548192.0,501241,Cody,away,Fajardo,ARIZ,35,11.7,-0.4,28,81.4,-1.1,-1.5,NEV,8.8,89.1,3,L,2014
26,400548156.0,531455,Cooper,home,Rush,M-OH,27,7.9,0.8,34,94.3,1.1,-1.6,CMU,8.2,89.1,12,W,2014
40,400547942.0,480846,C.J.,home,Brown,RUTG,41,3.5,-0.3,38,90.1,6.8,-0.3,MD,9.6,89.0,14,L,2014
