action_plays,espn_game_id,espn_player_id,first_name,home_away,last_name,opponent,opposition_score,pass_EPA,penalty_EPA,qb_score,raw_QBR,run_EPA,sack_EPA,team_name,total_EPA,total_QBR,week,won_lost,year
24,312532483.0,378502,Darron,home,Thomas,NEV,20,4.7,0.2,69,99.5,3.1,0.0,ORE,7.9,99.4,2,W,2011
21,312740151.0,480234,Bryn,away,Renner,ECU,20,7.7,0.0,35,99.5,-0.1,0.0,UNC,7.6,99.4,5,W,2011
27,313512751.0,482161,Chris,away,Coyer,WYO,15,2.9,-0.1,37,99.2,4.9,0.0,TEM,7.7,99.1,bowl,W,2011
28,312740130.0,480237,Denard,home,Robinson,MINN,0,3.7,0.2,58,99.3,4.3,0.0,MICH,8.2,98.7,5,W,2011
26,312880150.0,380849,EJ,away,Manuel,DUKE,16,6.8,0.0,41,99.0,2.8,-0.9,FSU,8.7,98.6,7,W,2011
28,312810328.0,512806,Chuckie,home,Keeton,WYO,19,8.8,0.3,63,98.9,1.2,0.0,USU,10.3,98.6,6,W,2011
30,312740275.0,238093,Russell,home,Wilson,NEB,17,9.2,0.3,48,97.9,2.2,-1.6,WIS,10.1,98.6,5,W,2011
45,312532633.0,501546,Tyler,home,Bray,CIN,23,12.7,0.7,45,97.3,0.6,0.0,TENN,14.0,98.0,2,W,2011
35,313140059.0,480239,Logan,away,Thomas,GT,26,9.1,-0.3,37,97.0,4.5,-0.5,VT,12.5,97.9,11,W,2011
31,312600239.0,378497,Robert Griffin,home,III,SFA,0,6.8,0.1,48,99.4,4.5,-0.1,BAY,11.3,97.8,3,W,2011
28,312952294.0,381738,James,home,Vandenberg,IND,24,8.2,-0.1,45,99.5,3.7,-1.5,IOWA,10.3,97.6,8,W,2011
33,312950248.0,191981,Case,home,Keenum,MRSH,28,9.8,-0.3,63,98.1,1.7,0.0,HOU,11.1,97.5,8,W,2011
40,313160265.0,504823,Connor,home,Halliday,ASU,27,16.2,-0.1,37,96.9,-0.4,-0.5,WSU,15.2,97.5,11,W,2011
34,320022483.0,238093,Russell,away,Wilson,ORE,45,8.2,1.0,38,92.7,2.3,-2.1,WIS,9.5,97.4,bowl,L,2011
33,312952305.0,381823,Collin,away,Klein,KU,21,5.4,0.5,59,98.5,5.4,0.0,KSU,11.3,97.4,8,W,2011
39,312810259.0,480239,Logan,home,Thomas,MIAMI,35,10.8,0.5,38,97.0,2.4,0.0,VT,13.7,97.3,6,W,2011
28,313020084.0,237001,Dan,away,Persa,IND,38,9.5,1.4,59,99.0,1.5,0.0,NW,12.4,97.1,9,W,2011
39,312672294.0,381738,James,home,Vandenberg,ULM,17,6.4,0.8,45,98.5,4.2,0.0,IOWA,11.4,97.1,4,W,2011
28,312530275.0,238093,Russell,home,Wilson,ORST,0,7.9,-0.2,35,97.8,1.1,-0.8,WIS,7.9,97.0,2,W,2011
43,312740030.0,480322,Matt,home,Barkley,ARIZ,41,13.1,0.5,48,97.7,0.1,0.0,USC,13.7,96.8,5,W,2011
34,313090275.0,238093,Russell,home,Wilson,PUR,17,5.6,0.8,62,96.5,2.6,-0.2,WIS,8.8,96.7,10,W,2011
24,313162433.0,481248,Kolton,home,Browning,MTSU,14,5.0,-0.1,42,98.6,1.1,0.0,ULM,6.0,96.5,11,W,2011
34,312810333.0,480215,AJ,home,McCarron,VAN,0,7.9,1.3,34,93.2,0.0,-0.6,ALA,8.6,96.5,6,W,2011
30,313300258.0,480239,Logan,away,Thomas,UVA,0,5.3,-0.1,38,94.4,3.1,-0.5,VT,7.8,96.4,13,W,2011
27,313022116.0,503649,Jeff,home,Godfrey,MEM,0,4.4,0.0,41,98.8,5.0,0.0,UCF,9.5,96.4,9,W,2011
32,312600005.0,383463,Ryan,away,Griffin,UAB,10,9.0,-0.0,49,98.3,0.1,0.0,TULN,9.2,96.1,3,W,2011
24,312810158.0,512838,Braxton,away,Miller,NEB,34,2.3,0.0,27,92.0,3.9,0.0,OSU,6.2,96.1,6,L,2011
28,313292711.0,481068,Tyler,home,VanTubbergen,AKRON,19,6.0,0.0,68,98.5,0.5,0.0,WMU,6.5,95.9,13,W,2011
43,312602459.0,238093,Russell,away,Wilson,NIU,7,9.1,-0.5,49,97.1,2.9,0.0,WIS,11.5,95.9,3,W,2011
41,312950265.0,504786,Sean,away,Mannion,WSU,21,10.7,0.3,44,95.6,0.0,0.0,ORST,11.0,95.8,8,W,2011
43,313162641.0,235677,Brandon,away,Weeden,TTU,6,8.3,1.2,66,97.3,0.0,-0.1,OKST,9.4,95.7,11,W,2011
23,312882117.0,482077,Alex,away,Gillett,CMU,28,2.1,0.4,35,97.4,6.2,0.0,EMU,8.7,95.6,7,W,2011
29,313232579.0,504292,Connor,home,Shaw,CIT,20,3.4,0.0,41,98.8,9.6,-1.1,SC,11.9,95.5,12,W,2011
40,313232483.0,480322,Matt,away,Barkley,ORE,35,8.8,-0.3,38,85.4,-0.4,-0.5,USC,7.6,95.5,12,W,2011
33,313020193.0,385212,Zac,home,Dysert,BUFF,13,10.2,-0.3,41,98.0,0.6,-0.2,M-OH,10.3,95.5,9,W,2011
47,313052649.0,237674,Chandler,away,Harnish,TOL,60,11.1,0.3,63,95.5,4.6,0.0,NIU,16.0,95.5,10,W,2011
35,312812426.0,237729,Austin,away,Davis,NAVY,35,8.2,-0.1,63,96.9,-0.2,0.0,USM,7.9,95.5,6,W,2011
26,313292390.0,501665,Chase,away,Rettig,MIAMI,17,9.2,0.1,24,92.4,-0.8,-1.1,BC,7.3,95.3,13,W,2011
