action_plays,espn_game_id,espn_player_id,first_name,home_away,last_name,opponent,opposition_score,pass_EPA,penalty_EPA,qb_score,raw_QBR,run_EPA,sack_EPA,team_name,total_EPA,total_QBR,week,won_lost,year
36,333270153.0,516347,Marquise,home,Williams,ODU,20,11.2,-0.1,80,99.2,1.6,0.0,UNC,12.8,97.0,13,W,2013
51,333642641.0,550386,Davis,home,Webb,ASU,23,13.5,0.3,37,92.0,-2.0,0.0,TTU,11.8,97.0,bowl,W,2013
21,332990002.0,550019,Jeremy,home,Johnson,FAU,10,2.3,-0.0,45,95.3,-0.1,0.0,AUB,2.2,97.0,9,W,2013
33,332570213.0,505719,Blake,away,Bortles,PSU,31,9.5,0.9,34,94.9,-0.4,0.0,UCF,10.0,97.0,3,W,2013
33,333270197.0,481725,Clint,home,Chelf,BAY,17,9.2,0.0,49,94.0,-1.1,-1.0,OKST,7.1,97.0,13,W,2013
33,333340130.0,512838,Braxton,away,Miller,MICH,41,3.0,-0.3,42,94.9,9.2,-1.1,OSU,10.7,97.0,14,W,2013
28,332922132.0,377963,Brendon,home,Kay,UCONN,16,6.2,1.3,41,97.5,0.6,0.0,CIN,8.1,96.9,8,W,2013
39,333340059.0,517034,Vad,home,Lee,UGA,41,3.6,-0.0,34,96.1,8.4,0.0,GT,12.0,96.9,14,L,2013
48,332850264.0,511459,Marcus,away,Mariota,WASH,24,9.8,-0.5,45,90.7,3.0,-0.4,ORE,11.9,96.9,7,W,2013
37,332920239.0,480746,Bryce,home,Petty,ISU,7,6.7,0.6,71,96.5,0.4,0.0,BAY,7.6,96.9,8,W,2013
26,333132393.0,501571,Logan,home,Kilgore,FIU,0,4.5,0.2,48,98.6,2.0,0.0,MTSU,6.7,96.9,11,W,2013
41,332572483.0,511459,Marcus,home,Mariota,TENN,14,7.7,-0.3,59,96.0,3.0,-0.9,ORE,9.5,96.8,3,W,2013
63,332642005.0,516959,Brett,away,Smith,AFA,23,13.3,-0.2,56,99.3,10.2,-0.2,WYO,23.0,96.8,4,W,2013
38,333060026.0,511982,Brett,home,Hundley,COLO,23,8.9,-0.1,45,97.9,4.3,0.0,UCLA,13.1,96.8,10,W,2013
22,332992628.0,501941,Case,away,McCoy,TCU,7,4.1,0.7,30,90.0,0.0,0.0,TEX,4.9,96.7,9,W,2013
48,332500252.0,482594,Taysom,home,Hill,TEX,21,-4.2,-0.1,40,93.8,16.5,0.0,BYU,12.2,96.6,2,W,2013
44,333650026.0,511982,Brett,home,Hundley,VT,12,1.0,0.7,42,90.3,10.1,-1.1,UCLA,10.6,96.6,bowl,W,2013
46,340010239.0,505719,Blake,away,Bortles,BAY,42,4.6,2.4,52,92.4,6.0,0.0,UCF,13.1,96.5,bowl,W,2013
34,332570245.0,480215,AJ,away,McCarron,TA&M,42,10.3,-0.5,49,94.7,0.0,0.0,ALA,9.8,96.5,3,W,2013
38,333270154.0,501046,Anthony,away,Boone,WAKE,21,8.0,-0.3,28,95.1,4.3,0.0,DUKE,11.9,96.5,13,W,2013
39,333270012.0,530824,B.J.,home,Denker,ORE,16,6.5,0.2,42,92.6,0.9,0.0,ARIZ,7.7,96.4,13,W,2013
36,333060036.0,504908,Grant,away,Hedrick,CSU,30,9.0,-0.1,42,97.0,2.1,-0.2,BSU,10.8,96.4,10,W,2013
44,333622306.0,550158,Jake,home,Waters,MICH,14,8.4,-0.2,31,94.5,2.4,-0.6,KSU,10.0,96.4,bowl,W,2013
24,332990135.0,530738,Philip,home,Nelson,NEB,23,2.4,0.0,34,92.2,3.5,0.0,MINN,6.0,96.4,9,W,2013
43,340012579.0,504292,Connor,home,Shaw,WIS,24,12.5,-0.3,34,92.1,0.4,-0.7,SC,11.8,96.3,bowl,W,2013
32,332710265.0,516357,Kevin,away,Hogan,WSU,17,6.7,-0.2,55,94.2,1.6,0.0,STAN,8.1,96.2,5,W,2013
36,332990058.0,511614,Teddy,away,Bridgewater,USF,3,11.7,0.6,34,95.0,-0.0,-2.4,LOU,9.9,96.2,9,W,2013
27,332640057.0,503970,Tyler,home,Murphy,TENN,17,2.5,-0.4,31,95.2,5.5,0.0,FLA,7.6,96.2,4,W,2013
33,333270228.0,480221,Tajh,home,Boyd,CIT,6,8.3,0.1,52,98.6,0.2,-0.2,CLEM,8.4,96.2,13,W,2013
36,332430120.0,480846,C.J.,home,Brown,FIU,10,6.5,0.3,43,98.1,4.6,-1.4,MD,10.1,95.8,1,W,2013
22,332570309.0,503922,Terrance,home,Broadway,NICH,7,2.6,0.6,70,98.5,2.8,-0.9,ULL,5.1,95.8,3,W,2013
32,332782579.0,504292,Connor,home,Shaw,UK,28,6.6,-0.0,35,97.1,3.4,-0.6,SC,9.5,95.8,6,W,2013
54,332570254.0,504786,Sean,away,Mannion,UTAH,48,15.3,1.0,51,92.7,0.0,-1.0,ORST,15.4,95.7,3,W,2013
42,333340057.0,530308,Jameis,away,Winston,FLA,7,8.5,0.6,37,87.4,0.9,-1.8,FSU,8.1,95.7,14,W,2013
21,332920333.0,480215,AJ,home,McCarron,ARK,0,4.7,0.0,52,95.3,0.0,0.0,ALA,4.7,95.7,8,W,2013
36,332780183.0,480221,Tajh,away,Boyd,SYR,14,10.5,0.1,49,93.2,-0.6,-1.9,CLEM,8.0,95.4,6,W,2013
36,332990194.0,512838,Braxton,home,Miller,PSU,14,4.3,-0.2,63,93.4,3.1,-0.4,OSU,6.8,95.3,9,W,2013
28,332990052.0,530308,Jameis,home,Winston,NCST,17,5.0,-0.1,49,95.9,0.0,-0.2,FSU,4.7,95.3,9,W,2013
35,333272306.0,534449,Trevor,away,Knight,KSU,31,5.2,-0.1,41,93.2,5.9,-0.5,OKLA,10.4,95.2,13,W,2013
24,333160189.0,513573,Matt,home,Johnson,OHIO,0,3.6,-0.0,49,96.6,0.8,-0.2,BGSU,4.1,95.2,12,W,2013
35,332920130.0,513034,Tre,away,Roberson,MICH,63,8.2,0.2,47,92.1,2.2,-1.0,IND,9.6,95.2,8,L,2013
41,333132426.0,530568,Keenan,home,Reynolds,HAW,28,1.5,0.8,42,97.7,12.8,-0.5,NAVY,14.7,95.2,11,W,2013
42,332710061.0,480210,Aaron,home,Murray,LSU,41,8.5,0.8,44,88.9,0.9,0.0,UGA,10.2,95.1,5,W,2013
20,332502636.0,481725,Clint,away,Chelf,UTSA,35,2.1,0.0,56,96.8,0.3,-0.3,OKST,2.1,95.1,2,W,2013
62,332850145.0,517475,Johnny,away,Manziel,MISS,38,10.0,-0.3,41,90.9,7.5,-0.6,TA&M,16.5,95.0,7,W,2013
52,332780070.0,484080,Derek,away,Carr,IDAHO,14,10.1,0.1,61,97.2,0.1,0.0,FRES,10.3,95.0,6,W,2013
52,332920278.0,484080,Derek,home,Carr,UNLV,14,8.9,0.5,38,95.1,2.2,0.0,FRES,11.5,94.8,8,W,2013
45,332710103.0,530308,Jameis,away,Winston,BC,34,9.2,0.7,48,94.3,4.2,-1.7,FSU,12.4,94.8,5,W,2013
28,333202247.0,503922,Terrance,away,Broadway,GAST,21,7.7,1.7,35,97.5,3.1,-1.5,ULL,10.9,94.8,12,W,2013
51,333650245.0,517475,Johnny,home,Manziel,DUKE,48,11.6,0.1,52,93.9,2.6,0.0,TA&M,14.3,94.6,bowl,W,2013
