action_plays,espn_game_id,espn_player_id,first_name,home_away,last_name,opponent,opposition_score,pass_EPA,penalty_EPA,qb_score,raw_QBR,run_EPA,sack_EPA,team_name,total_EPA,total_QBR,week,won_lost,year
21,400869595.0,545382,Joel,home,Lanning,TTU,10,0.4,0.0,66,100.0,5.1,0.0,ISU,5.5,100.0,12,W,2016
33,400869476.0,3916387,Lamar,away,Jackson,BC,7,6.0,0.1,52,99.8,6.6,-0.1,LOU,12.6,99.9,10,W,2016
34,400869474.0,531104,Justin,home,Thomas,DUKE,35,8.2,-0.1,38,99.8,12.6,-1.5,GT,19.2,99.8,9,W,2016
29,400869685.0,3115966,Wilton,home,Speight,MD,3,7.9,-0.1,59,99.8,2.4,-0.1,MICH,10.0,99.8,10,W,2016
34,400869064.0,546540,Joshua,home,Dobbs,MIZ,37,5.8,1.1,63,99.7,14.1,-0.8,TENN,20.2,99.7,12,W,2016
34,400869072.0,558337,Nick,away,Fitzgerald,MISS,20,3.1,-0.3,55,99.3,13.0,-0.7,MSST,15.0,99.5,13,W,2016
23,400869161.0,3127332,Marcus,home,McMaryion,ARIZ,17,9.0,0.1,42,99.6,0.0,-0.6,ORST,8.6,99.4,12,W,2016
35,400869191.0,4036357,Collin,home,Hill,UNCO,21,8.4,-0.1,47,99.8,3.9,-0.4,CSU,11.8,99.3,3,W,2016
23,400869572.0,551208,Will,away,Worth,SMU,31,4.8,-0.0,75,99.0,5.7,0.0,NAVY,10.5,99.1,13,W,2016
28,400869124.0,3886812,Jake,home,Browning,STAN,6,6.1,0.6,44,97.9,0.2,0.0,WASH,6.8,99.0,5,W,2016
31,400869393.0,531316,Ryan,home,Higgins,RICE,16,5.9,-0.0,61,99.7,5.5,-0.5,LT,10.9,98.9,9,W,2016
20,400869353.0,3931782,Chase,home,Litton,MORG,0,8.6,-0.2,62,99.5,-0.5,0.0,MRSH,7.9,98.5,2,W,2016
34,400869214.0,3722362,Brett,away,Rypien,UNM,21,13.0,0.3,49,98.9,-0.5,0.0,BSU,12.9,98.3,6,W,2016
33,400869265.0,545910,Logan,away,Woodside,ARKST,10,10.8,-0.1,31,97.6,-0.3,0.0,TOL,10.4,98.2,1,W,2016
40,400869616.0,550373,Baker,away,Mayfield,TTU,59,18.7,-0.1,66,99.0,0.3,0.0,OKLA,18.9,98.1,8,W,2016
