action_plays,espn_game_id,espn_player_id,first_name,home_away,last_name,opponent,opposition_score,pass_EPA,penalty_EPA,qb_score,raw_QBR,run_EPA,sack_EPA,team_name,total_EPA,total_QBR,week,won_lost,year
25,243180008.0,559838,Matt,home,Jones,MISS,3,2.0,0.1,35,99.8,7.9,0.0,ARK,10.0,99.8,12,W,2004
20,242550201.0,20847,Jason,home,White,HOU,13,6.7,-0.2,63,99.8,0.0,0.0,OKLA,6.5,99.8,3,W,2004
24,242900002.0,103392,Jason,home,Campbell,ARK,20,7.8,0.4,38,99.2,-0.5,0.0,AUB,7.7,98.6,8,W,2004
27,242972711.0,125610,Josh,away,Haldi,WMU,38,10.3,-0.0,59,99.4,0.6,0.0,NIU,10.9,98.0,9,W,2004
23,242900158.0,145567,Joe,home,Dailey,BAY,27,7.6,-0.2,59,98.5,0.0,-0.7,NEB,6.7,97.9,8,W,2004
22,242760061.0,103592,David,home,Greene,LSU,16,4.5,0.1,45,93.8,0.1,-0.3,UGA,4.4,97.9,6,W,2004
44,243182751.0,134662,Alex,away,Smith,WYO,28,6.9,0.0,45,97.0,5.1,-0.1,UTAH,11.9,97.5,12,W,2004
40,250040030.0,120511,Matt,away,Leinart,OKLA,19,7.4,-0.2,55,92.8,-0.1,-0.2,USC,6.9,97.4,bowl,W,2004
46,242972641.0,135107,Vince,away,Young,TTU,21,3.1,0.5,51,95.7,9.6,0.0,TEX,13.2,97.0,9,W,2004
40,243180201.0,20847,Jason,home,White,NEB,3,8.4,0.7,30,95.9,-0.9,0.0,OKLA,8.2,97.0,12,W,2004
40,242762649.0,114338,Bruce,home,Gradkowski,BALL,14,11.0,0.5,52,99.1,-0.7,0.0,TOL,10.7,96.8,6,W,2004
24,243250150.0,108523,Darian,away,Durant,DUKE,17,7.6,-0.1,40,97.5,1.2,0.0,UNC,8.6,96.7,13,W,2004
20,243340242.0,120824,Matt,away,Kubik,RICE,14,5.6,-0.0,51,98.4,2.3,-1.2,LT,6.6,96.7,14,W,2004
53,250010130.0,135107,Vince,home,Young,MICH,37,2.4,0.7,38,94.8,14.8,-0.6,TEX,17.3,96.6,bowl,W,2004
24,243110096.0,103592,David,away,Greene,UK,17,7.0,0.1,62,96.0,1.2,-0.9,UGA,7.3,96.5,11,W,2004
43,243620278.0,113717,Marques,away,Hagans,FRES,37,5.6,0.9,34,93.2,6.3,-0.6,UVA,12.3,96.5,bowl,L,2004
28,242830349.0,141839,Zac,home,Dahman,CIN,29,7.6,0.3,48,94.9,-0.1,0.0,ARMY,7.7,96.4,7,W,2004
26,243250248.0,112516,Stefan,away,LeFors,HOU,27,9.7,0.0,65,97.0,-0.4,0.0,LOU,9.2,96.2,13,W,2004
33,242960097.0,112516,Stefan,home,LeFors,USF,9,6.2,0.0,41,98.2,1.9,-0.1,LOU,8.0,96.1,9,W,2004
35,243110275.0,133680,John,home,Stocco,MINN,14,6.9,0.2,38,97.6,1.8,-0.5,WIS,8.4,96.0,11,W,2004
23,243180036.0,160036,Caleb,home,Hanie,UNLV,10,1.7,0.0,45,97.2,3.5,-0.3,CSU,4.9,96.0,12,W,2004
33,243390038.0,20847,Jason,home,White,COLO,3,6.0,-0.1,42,95.1,0.0,0.0,OKLA,5.9,95.7,15,W,2004
49,242620009.0,100104,Andrew,home,Walter,IOWA,7,8.1,0.2,44,91.3,-0.7,0.0,ASU,7.7,95.6,4,W,2004
30,242900030.0,120511,Matt,home,Leinart,ASU,7,4.4,0.3,45,90.5,0.1,-0.1,USC,4.7,95.6,8,W,2004
21,242760245.0,138583,Reggie,home,McNeal,KSU,30,1.6,0.7,42,95.2,4.4,0.0,TA&M,6.7,95.1,6,W,2004
44,242550151.0,116872,Cory,away,Randolph,ECU,17,11.5,-0.8,31,97.6,5.6,-0.6,WAKE,15.8,95.0,3,W,2004
34,242690087.0,150329,Brady,home,Quinn,WASH,3,5.5,0.4,38,93.4,0.0,0.0,ND,5.9,94.9,5,W,2004
43,243250142.0,117125,Brian,away,Luke,MIZ,14,7.0,-0.3,31,85.4,-0.3,0.0,KU,6.4,94.8,13,W,2004
31,242970254.0,134662,Alex,home,Smith,UNLV,28,3.8,0.2,63,96.3,3.6,-1.5,UTAH,6.1,94.6,9,W,2004
38,243110254.0,134662,Alex,home,Smith,CSU,31,5.6,0.4,63,93.2,0.7,-0.1,UTAH,6.7,94.6,11,W,2004
33,242832305.0,137215,Dylan,away,Meier,KU,31,6.4,0.2,28,84.2,-0.2,0.0,KSU,6.4,94.5,7,L,2004
30,242970238.0,115374,Jay,home,Cutler,EKY,7,4.6,1.1,19,97.8,5.6,-0.4,VAN,10.7,94.5,9,W,2004
23,242550258.0,108523,Darian,away,Durant,UVA,56,2.4,0.8,24,94.1,0.9,-0.4,UNC,3.8,94.5,3,L,2004
29,242830061.0,161062,Erik,away,Ainge,UGA,14,5.7,0.4,19,83.5,0.0,-0.5,TENN,5.5,94.3,7,W,2004
27,243230259.0,116190,Bryan,home,Randall,MD,6,1.6,0.2,55,90.8,1.3,-0.1,VT,3.0,94.2,13,W,2004
28,242622633.0,161062,Erik,home,Ainge,FLA,28,6.8,1.3,30,92.4,0.0,0.0,TENN,8.1,94.1,4,W,2004
20,242690099.0,146755,JaMarcus,home,Russell,MSST,0,1.9,-0.1,51,93.6,-0.2,0.0,LSU,1.6,94.0,5,W,2004
30,242762633.0,103392,Jason,away,Campbell,TENN,10,7.0,-0.5,34,92.2,0.6,-0.6,AUB,6.6,94.0,6,W,2004
49,243040021.0,134662,Alex,away,Smith,SDSU,28,9.8,0.7,51,91.0,1.8,-0.4,UTAH,11.8,94.0,10,W,2004
32,242760218.0,134244,Omar,away,Jacobs,TEM,16,11.3,-0.1,70,98.2,0.2,0.0,BGSU,11.4,93.9,6,W,2004
33,243112572.0,119891,Gino,away,Guidugli,USM,24,6.9,-0.6,52,88.5,0.5,0.0,CIN,6.7,93.7,11,W,2004
47,243042309.0,116199,Joshua,home,Cribbs,OHIO,16,2.1,-0.2,42,94.3,7.9,0.0,KENT,9.7,93.7,10,W,2004
23,242900057.0,146526,Chris,home,Leak,MTSU,16,7.0,0.0,52,97.9,0.1,0.0,FLA,7.1,93.6,8,W,2004
34,242552509.0,119358,Kyle,home,Orton,BALL,7,6.6,0.2,59,98.1,0.4,0.0,PUR,7.1,93.5,3,W,2004
35,242900025.0,144994,Aaron,home,Rodgers,UCLA,28,7.7,0.7,45,91.2,1.2,-0.8,CAL,8.8,93.4,8,W,2004
28,242480142.0,120165,Brad,home,Smith,ARKST,20,3.9,0.0,52,96.6,3.1,-0.4,MIZ,6.6,93.3,2,W,2004
25,243112655.0,134032,Lester,home,Ricard,NAVY,10,8.2,-0.5,42,96.3,0.9,-0.8,TULN,7.9,93.2,11,W,2004
36,242620038.0,144289,Joel,home,Klatt,UNT,21,9.6,-0.1,52,95.8,-0.2,-0.2,COLO,9.1,93.2,4,W,2004
24,242760059.0,100223,Brock,away,Berlin,GT,3,5.1,-0.3,27,86.1,0.0,-0.7,MIAMI,4.1,93.2,6,W,2004
33,243180058.0,148398,Pat,home,Julmiste,ECU,17,7.4,-0.4,41,96.6,2.1,0.0,USF,9.0,93.1,12,W,2004
27,243110189.0,134244,Omar,home,Jacobs,WMU,0,7.9,-0.1,52,97.7,0.1,-0.4,BGSU,7.6,92.7,11,W,2004
45,242460254.0,134662,Alex,home,Smith,TA&M,21,6.8,-0.0,41,89.7,0.8,-0.6,UTAH,7.0,92.6,2,W,2004
35,243040265.0,120511,Matt,away,Leinart,WSU,12,4.6,0.5,42,89.9,0.0,-0.2,USC,5.0,92.4,10,W,2004
26,250030259.0,103392,Jason,home,Campbell,VT,13,5.1,0.1,16,75.8,-0.1,-1.4,AUB,3.7,92.4,bowl,W,2004
41,243320030.0,120511,Matt,home,Leinart,ND,10,9.6,0.7,41,93.0,-0.0,-0.4,USC,9.9,92.3,14,W,2004
29,243040278.0,120888,Paul,home,Pinegar,SMU,0,4.1,0.6,42,97.1,1.9,-0.2,FRES,6.4,92.3,10,W,2004
33,250010245.0,116933,Rick,away,Clausen,TA&M,7,5.9,0.0,38,89.3,0.0,0.0,TENN,5.9,92.3,bowl,W,2004
35,243300164.0,116125,Dan,away,Orlovsky,RUTG,35,6.5,0.6,41,92.9,3.0,0.0,UCONN,10.1,92.1,14,W,2004
22,243110242.0,120888,Paul,away,Pinegar,RICE,14,6.7,0.2,52,96.0,0.0,-0.6,FRES,6.3,92.1,11,W,2004
26,242690135.0,133808,Bryan,home,Cupito,NW,17,3.8,1.5,43,95.5,0.8,0.0,MINN,6.1,92.1,5,W,2004
30,243252638.0,136814,Jordan,home,Palmer,SMU,27,10.4,0.8,57,97.0,-0.3,0.0,UTEP,10.8,92.1,13,W,2004
21,243320023.0,120888,Paul,away,Pinegar,SJSU,28,5.6,-0.1,62,95.6,0.0,-0.3,FRES,5.2,91.8,14,W,2004
39,242810258.0,113717,Marques,home,Hagans,CLEM,10,7.7,-0.1,30,85.0,1.1,-1.0,UVA,7.7,91.8,7,W,2004
22,242620070.0,115704,Josh,away,Swogger,IDAHO,8,6.4,0.0,49,95.7,-0.4,0.0,WSU,6.0,91.8,4,W,2004
52,242970201.0,20847,Jason,home,White,KU,10,8.2,0.8,41,77.4,0.0,-1.6,OKLA,7.3,91.7,9,W,2004
21,242690153.0,112516,Stefan,away,LeFors,UNC,0,4.4,0.5,34,93.7,0.9,0.0,LOU,5.8,91.7,5,W,2004
26,242760204.0,144994,Aaron,away,Rodgers,ORST,7,3.1,0.8,49,84.5,0.2,-0.5,CAL,3.7,91.7,6,W,2004
22,242690008.0,559838,Matt,home,Jones,ALA,10,0.8,-0.1,27,77.5,5.1,-2.1,ARK,3.6,91.6,5,W,2004
42,242900202.0,105974,James,home,Kilian,BSU,45,8.3,-0.0,42,87.2,1.9,-0.9,TLSA,9.4,91.5,8,L,2004
58,243090235.0,103751,Danny,home,Wimprine,LOU,56,12.1,0.1,49,86.2,0.5,0.0,MEM,12.3,91.4,11,L,2004
34,242550167.0,135136,Kole,home,McKamey,TTU,24,4.8,0.0,27,87.8,3.0,0.0,UNM,7.8,91.3,3,W,2004
34,242410259.0,120511,Matt,away,Leinart,VT,13,5.1,-0.2,24,72.9,1.1,-1.2,USC,4.8,91.2,1,W,2004
43,243112084.0,116199,Joshua,away,Cribbs,BUFF,7,3.0,-0.2,33,93.9,6.6,-1.1,KENT,8.2,91.1,11,W,2004
57,243390002.0,103392,Jason,away,Campbell,TENN,28,9.9,2.3,38,88.4,1.5,-0.5,AUB,13.2,91.1,15,W,2004
31,243250333.0,103392,Jason,away,Campbell,ALA,13,4.6,-0.1,21,76.0,1.1,-0.8,AUB,4.9,90.9,13,W,2004
48,243180189.0,134244,Omar,home,Jacobs,MRSH,35,9.9,-0.2,56,89.3,0.9,-0.5,BGSU,10.0,90.8,12,W,2004
27,243180002.0,103392,Jason,home,Campbell,UGA,6,2.2,-0.2,24,75.3,0.8,0.0,AUB,2.8,90.8,12,W,2004
39,243112579.0,559838,Matt,away,Jones,SC,35,0.6,-0.5,32,87.3,8.4,0.0,ARK,8.7,90.8,11,L,2004
29,243640197.0,133653,Justin,home,Zwick,OKST,7,3.8,0.5,33,91.1,0.0,0.0,OSU,4.4,90.7,bowl,W,2004
42,242900197.0,138583,Reggie,away,McNeal,OKST,20,6.7,-0.4,36,91.0,1.4,0.0,TA&M,7.7,90.7,8,W,2004
52,243252628.0,104785,Brandon,home,Hassell,USM,17,5.4,0.2,42,83.3,2.8,-0.9,TCU,7.6,90.6,13,W,2004
30,243040130.0,133795,Drew,away,Stanton,MICH,45,2.1,1.1,37,85.9,3.4,0.0,MSU,6.7,90.5,10,L,2004
43,242970152.0,100223,Brock,away,Berlin,NCST,31,6.3,1.1,45,80.0,-0.6,0.0,MIAMI,6.8,90.4,9,W,2004
42,242550103.0,146251,Paul,home,Peterson,PSU,7,7.6,-0.5,21,82.2,0.5,-0.4,BC,7.2,90.4,3,W,2004
34,243250344.0,559838,Matt,away,Jones,MSST,21,7.2,0.6,24,89.6,1.4,-0.6,ARK,8.6,90.3,13,W,2004
44,242832393.0,133314,Clint,home,Marks,ARKST,17,11.9,0.0,45,94.8,-0.3,-1.0,MTSU,10.7,90.1,7,W,2004
38,242622633.0,146526,Chris,away,Leak,TENN,30,10.0,-0.2,28,87.1,0.4,-1.4,FLA,8.8,90.0,4,L,2004
67,243650025.0,118210,Sonny,away,Cumbie,CAL,31,11.4,1.1,45,86.0,0.1,-0.6,TTU,11.9,90.0,bowl,W,2004
37,243252638.0,157321,Jerad,away,Romo,UTEP,57,2.6,-0.1,27,81.2,2.5,-1.6,SMU,3.4,89.9,13,L,2004
29,243040183.0,134493,Perry,home,Patterson,UCONN,30,3.3,1.7,42,92.4,2.8,0.0,SYR,7.8,89.8,10,W,2004
67,243252509.0,119358,Kyle,home,Orton,IND,24,10.3,0.5,63,92.3,1.5,-1.8,PUR,10.5,89.8,13,W,2004
42,242552305.0,145353,Adam,home,Barmann,TOL,14,4.2,-0.1,63,94.6,0.9,0.0,KU,5.0,89.8,3,W,2004
23,242692579.0,146835,Syvelle,home,Newton,TROY,7,4.0,-0.1,17,82.4,2.4,-1.9,SC,4.4,89.7,5,W,2004
33,242890005.0,115044,Darrell,home,Hackney,TCU,25,9.5,0.3,41,96.0,-1.2,-0.4,UAB,8.2,89.7,8,W,2004
24,243110245.0,138625,Ty,home,Branyon,OKLA,42,1.5,1.3,35,74.5,1.4,-0.8,TA&M,3.5,89.7,11,L,2004
21,242760023.0,147041,Dale,home,Rogers,RICE,63,8.0,0.0,70,94.6,0.2,-2.0,SJSU,6.2,89.6,6,W,2004
56,250010221.0,134662,Alex,home,Smith,PITT,7,8.2,0.1,35,88.8,1.3,-0.8,UTAH,8.8,89.6,bowl,W,2004
34,243182483.0,137200,Drew,away,Olson,ORE,26,5.2,-0.4,34,84.7,4.3,-2.0,UCLA,7.1,89.5,12,W,2004
28,242552628.0,104785,Brandon,home,Hassell,SMU,0,4.4,-0.0,44,95.8,-0.3,-0.4,TCU,3.7,89.2,3,W,2004
22,243182655.0,134032,Lester,home,Ricard,ARMY,31,6.3,-0.1,45,95.6,0.4,0.0,TULN,6.6,89.1,12,W,2004
33,243320008.0,107723,Marcus,away,Randall,ARK,14,6.4,-0.1,43,93.1,4.3,-2.3,LSU,8.2,89.1,14,W,2004
45,242480038.0,116481,Justin,away,Holland,COLO,27,9.5,0.6,24,87.6,0.0,-0.3,CSU,9.8,89.1,2,L,2004
33,242550025.0,144994,Aaron,home,Rodgers,NMSU,14,7.0,-0.1,41,94.8,0.8,0.0,CAL,7.6,88.8,3,W,2004
30,242760251.0,135107,Vince,home,Young,BAY,14,2.9,-0.3,44,91.9,2.1,0.0,TEX,4.7,88.8,6,W,2004
28,242760201.0,20847,Jason,home,White,TTU,13,5.2,-0.3,28,84.3,-0.2,0.0,OKLA,4.7,88.8,6,W,2004
48,243250194.0,133648,Troy,home,Smith,MICH,21,4.4,-0.5,37,83.4,4.5,0.0,OSU,8.3,88.7,13,W,2004
43,243582132.0,119891,Gino,home,Guidugli,MRSH,14,7.6,-0.2,32,86.5,1.6,0.0,CIN,9.0,88.4,bowl,W,2004
28,242690251.0,135107,Vince,home,Young,RICE,13,3.0,0.2,35,94.0,1.6,0.0,TEX,4.8,88.4,5,W,2004
41,242760087.0,119358,Kyle,away,Orton,ND,16,8.6,0.2,41,89.3,0.7,-1.2,PUR,8.3,88.4,6,W,2004
48,242830030.0,144994,Aaron,away,Rodgers,USC,23,8.8,0.8,17,70.0,0.8,-4.4,CAL,6.0,88.1,7,L,2004
37,243630087.0,150329,Brady,away,Quinn,ORST,38,3.2,1.5,21,78.4,1.6,-1.8,ND,4.5,88.0,bowl,L,2004
33,242902306.0,20847,Jason,away,White,KSU,21,8.0,0.2,31,88.1,0.0,-0.4,OKLA,7.8,88.0,8,W,2004
